student_email,course_id,sec_no,hw_no,grade
aa2256@nittany.edu,CMPEN331,2,1,98,,,,,,,,
aa2256@nittany.edu,CMPSC497,1,1,88,,,,,,,,
aa2256@nittany.edu,DS220,1,1,73,,,,,,,,
ab1769@nittany.edu,DS220,1,1,72,,,,,,,,
ab1769@nittany.edu,CMPSC461,1,1,73,,,,,,,,
ab1769@nittany.edu,CMPSC132,1,1,78,,,,,,,,
ab2069@nittany.edu,EE353,2,1,85,,,,,,,,
ab2069@nittany.edu,DS120,1,1,97,,,,,,,,
ab2069@nittany.edu,EE320,2,1,69,,,,,,,,
ab3016@nittany.edu,MATH141,1,1,95,,,,,,,,
ab3016@nittany.edu,CMPEN411,2,1,95,,,,,,,,
ab3016@nittany.edu,MATH230,2,1,88,,,,,,,,
ab3353@nittany.edu,IST110,1,1,88,,,,,,,,
ab3353@nittany.edu,DS120,1,1,68,,,,,,,,
ab3353@nittany.edu,CMPSC448,1,1,93,,,,,,,,
ab3717@nittany.edu,CHEM110,1,1,85,,,,,,,,
ab3717@nittany.edu,EE353,2,1,64,,,,,,,,
ab3717@nittany.edu,CMPEN362,1,1,74,,,,,,,,
ab4479@nittany.edu,EE340,1,1,67,,,,,,,,
ab4479@nittany.edu,EE212,2,1,87,,,,,,,,
ab4479@nittany.edu,EE211,1,1,82,,,,,,,,
ab4636@nittany.edu,CMPSC311,2,1,97,,,,,,,,
ab4636@nittany.edu,STAT414,1,1,79,,,,,,,,
ab4636@nittany.edu,STAT318,2,1,72,,,,,,,,
ab5104@nittany.edu,CSE543,2,1,74,,,,,,,,
ab5104@nittany.edu,MATH141,1,1,92,,,,,,,,
ab5104@nittany.edu,CMPSC497,2,1,69,,,,,,,,
ab8172@nittany.edu,CMPSC465,1,1,65,,,,,,,,
ab8172@nittany.edu,CMPEN362,2,1,93,,,,,,,,
ab8172@nittany.edu,EE210,1,1,91,,,,,,,,
ab8389@nittany.edu,CMPEN441,2,1,72,,,,,,,,
ab8389@nittany.edu,CMPEN351,2,1,63,,,,,,,,
ab8389@nittany.edu,PHYS214,1,1,67,,,,,,,,
ab8825@nittany.edu,PHYS211,1,1,78,,,,,,,,
ab8825@nittany.edu,CMPEN270,1,1,96,,,,,,,,
ab8825@nittany.edu,STAT319,2,1,95,,,,,,,,
ab9912@nittany.edu,MATH140,2,1,78,,,,,,,,
